"id","english_phrase","french_phrase","version"
1,"Users are clocking and/or are experiencing intermittent access.","Certains utilisateurs reçoivent l’horlage ou éprouvent l’accès par intermittence.","status"
2,"Some users may be experiencing slowness when accessing the CRA/CBSA mainframe.","Certains utilisateurs éprouvent l’accès lent à l’ordinateur central du l'ARC/ASFC.","status"
3,"Users at site %{service_impact} are unable to access the wide area network.","Les utilisateurs à site %{service_impact} n’ont pas d’ accès au réseau.","status"
4,"Users are unable to access various applications including but not limited to %{service_impact}.","Les utilisateurs n’ont pas l’acces à quelques application inclus mais pas limité à %{service_impact}.","status"
5,"Some users are unable to access %{service_impact}.","Certains clients n’ont pas d’acces à %{service_impact}.","status"
6,"Support is investigating.","Le groupe de soutien a été informé.","status"
7,"HART has been informed. ","ESDE a été informé.","status"
8,"Some clients are unable to send ACROSS EDI data.","Certains clients ne peuvent pas envoyer les données SSMAEC EDI.","status"
9,"Paxis is not receiving international API/PNR data for all flights.","SIPAX ne reçoit pas de données API/PNR pour les vols internationaux.","status"
10,"Multiple users at multiple sites are experiencing various access issues with Citrix.","Plusieurs utilisateurs sur plusieurs sites éprouvent les problèmes d'accès avec Citrix.","status"
11,"The service provider is investigating the cause.","Le fournisseur de services enquete la cause.","status"
12,"The SIM has been informed.","Le Gestionnaire principal des incidents a été avisé.","status"
13,"The service provider resolved a network hardware issue.","Le fournisseur de service a résolu un problème de matériel du réseau.","status"
14,"Deployment of new code and security policies failed due to a scheduling error.","Déploiement du nouveau code et les politiques de sécurité a échoué en raison d'une erreur de programmation.","status"
15,"Updates were applied enabling access to all affected applications.","Mises à jour ont été appliquées permettant l'accès à toutes les applications affectés.","status"
16,"Users are unable to access the following applications: %{service_impact}","Les utilisateurs ne peuvent pas accéder les applications suivantes: %{service_impact}","status"
17,"A mainframe connectivity problem has been resolved. ","Une probléme de connectivité entre les ordinateurs centrals a été résolu.","status"
18,"CRA/CBSA mainframe  systems are functioning normally.","Les systems d'ordinateurs centrales de l'ARC/ASFC fonctionnent normalement.","status"
19,"Batch cycles had to catch up after delays during the weekend maintenance window. Access to some online tax applications was impacted. ","Les cycles par lots étaient en retard a cause des activitiés d'entretien prévu du weekend. L'acces aux applications ci-dessus a été affectés.","status"
20,"The above listed applications are now all available.","Les applications ci-dessus sont maintenant disponibles.","status"
21,"No further updates will be sent until new information is available.","Aucune autres mise à jour ne sera envoyé jusqu’à tant que d’autres informations deviennent disponibles.","status"
22,"All NEXUS Kiosks at Calagary International Airport were not functioning.  A reboot of all kiosks resolved the incident.","Tous les Kiosques NEXUS à l’aéroport internationale de Calgary ne fonctionnaient pas. Le redémarrage des kiosques a résout l’incident. ","status"
23,"Root cause still under investigation.","La cause de l’incident est toujours sous enquête.","status"
24,"Some Rogers Wireless customers were unable to use wireless voice and data services.","Certains clients Rogers sans-fil étaient incapables d'utiliser les services de voix et de données sans fil.","status"
25,"The vendor has resolved the issue.","Le vendeur a résolu l'incident.","status"
26,"The %{service_impact} application needed to be started in the proper sequence with the proper scripts.","L'application %{service_impact} avait besoin d'être démarré dans la séquence correcte avec les scripts appropriés.","status"
27,"The above listed site is experiencing a power outage. IT systems are unavailable.","Le site ci-dessus subit une panne de courant. Les systèmes informatiques ne sont pas disponibles.","status"
28,"Affected sites confirm service restoration. Root cause is still under investigation.","Les sites affectés ont confirmés le rétablissement du service. La cause de l’incident est toujours sous enquête.","status"
29,"Multiple platforms and services are impacted including: %{service_impact}","Plusieurs plateformes et services sont affectés y compris: %{service_impact}","status"
30,"Local IT support confirmed power at the site.","Le soutien technique local a confirmé le courant au site.","status"
31,"The vendor investigated a circuit problem.","Le vendeur a investigué un problème du circuit.","status"
32,"The site has been stable since XX:XX ET. IT systems are available.","Le site est stable depuis XX:XX HE. Les systèmes informatique sont disponibles.","status"
33,"Some users were unable to access services using the Internet.","Certains usagers ne pouvaient pas accéder aux services qui utilisent l’Internet. ","status"
34,"SSC support resources in conjunction with the vendor implemented corrective measures at XX:XX ET yyyy/mm/dd.","Les ressources technique de SPC et le vendeur ont fait des changements correctifs à XX:XX HE aaaa/mm/dd.","status"
35,"Multiple services impacted including, but not limited to: %{service_impact}","Plusieurs services affectés , y compris, mais n’est pas  limiter à: %{service_impact}","status"
36,"%{service_impact} is experiencing a loss of network connectivity.  IT systems are unavailable.","%{service_impact} connaît une perte de connectivité de réseau. Les systèmes informatiques ne sont pas disponibles.","status"
37,"%{service_impact} is unavailable due to a delay in the completion of the batch cycle.","%{service_impact} est indisponibles en raison d'un retard dans l'achèvement du cycle de traitement par lots.","status"
38,"A scheduled enterprise network change went outside its change window impacting the above listed services.","Un changement de réseau prévu a dépassé la fenêtre de temps et a affecté les services ci-dessus.","status"
39,"The Integrated Customs Enforcement System had been receiving erroneous data files from RCMP servers concerning fraudulent license plates.","Le Système intégré d'exécution des douanes recevait les fichiers de données erronées à partir de serveurs de la GRC, concernant les plaques d'immatriculation frauduleuses.","status"
40,"The RCMP sent the CBSA ICESAPPS support group the last known updated data file containing fraudulent license plates.","La GRC a envoyé au groupe de soutien de l'ASFC ICESAPPS, le dernier fichier de données qui contenu les plaques d'immatriculation frauduleuses.","status"
41,"The applications listed above were unavailable to users. The problem was caused by the deletion of a USERID used by the applications in the system.","Les applications listées ci-haut n’étaient pas disponible pour les usagers. L’incident était due à la suppression d’un Compte utilisé par les applications dans le système.","status"
42,"Issue was resolved by restarting the workstation.  Incident is resolved, root cause under investigation.","L’incident a été résolue en redémarrant le poste de travail.  L’incident a été résolue, la cause de l’incident est toujours sous enquête.","status"
43,"The site listed above had lost primary network connection, but was running on back-up connection.","Le site ci-dessus avait perdu la connexion de réseau primaire, mais a été en cours d'exécution sur la connexion sauvegarde.","status"
44,"The vendor replaced network hardware at the central office to correct the issue.","Le vendeur a remplacer le matériel  du réseau au bureau central pour corriger l’ incident.","status"
45,"The Internet API Gateway (IAG) was not forwarding messages to the Data Acquisition System (DAS).","Passerelle Internet IPV (PII) ne retransmettait pas les messages à Système d'acquisition de données (SAD).","status"
46,"Service was restored during investigation without intervention.","Le service a été rétabli en cours de l’investigation sans intervention du support.","status"
47,"Some users were unable to access ICS due to scheduled weekend change activities.","Certains usagers n’avaient pas d’accès à SID a cause des changements prévu.","status"
48,"After the completion of the scheduled changes, affected users confirmed service restoration","Après la fin des changements, les usagers ont confirmés la restauration du service.","status"
49,"The above listed site experienced a power outage.  Power was restored at XX:XX ET however the Exchange server is unavailable.","Le site ci-dessus a subit une panne de courant. Le courant a été rétabli à XX:XX ET mais le serveur Exchange n`est pas disponible.","status"
50,"Local IT support is required on site.","Un soutien technique local est requis au site.","status"
51,"Local IT support remotely restarted the Exchange server restoring service.","Soutien technique local a redémarré le serve Exchange à distance. Le service a été rétabli.","status"
52,"Some CBSA clients were unable to log into the eManifest portal.","Certains clients de l'ASFC était incapables de connecter au portail du Manifeste électronique.","status"
53,"The support group stopped an Apache server instance to correct the issue. Root cause under investigation.","Le groupe de soutien a arrêter une instance de serveur Apache pour régler l`incident.  La cause est sous enquête.","status"
54,"Some Automated Border Clearance (ABC) kiosks are unavailable at Pearson International Airport Terminal 1 and 3.","Certains kiosques de Contrôle frontalier automatisé (CFP) ne sont pas disponible à l’Aéroport International Pearson, Terminal 1 et 3.","status"
55,"The above listed site experienced a power outage.  Power was restored at XX:XX ET however IT systems were still unavailable.","Le site ci-dessus a subit une panne de courant. Le courant a été rétabli à XX:XX ET mais les systèmes informatiques n’étaient pas disponibles.","status"
56,"SSC DSUS server support was engaged and  remotely recovered the site Exchange and File and Print Servers.","Le groupe de soutien  SPC DSUS  a récupéré les serveurs Exchange et fichier/imprimante à distance.","status"
57,"The site confirmed service restoration.","Le site a confirmé la restauration du service.","status"
58,"Environment Canada BB10 users were unable to send or receive Blackberry messages.","Les usagers d'Environnement Canada ne pouvaient pas envoyer ou recevoir les messages sur leurs appareils BlackBerry BB10.","status"
59,"Some users are unable to send or receive emails on their Blackberry devices.","Certains usagers ne pouvaient pas envoyer ou recevoir les courriels sur leurs appareils BlackBerry.","status"
60,"A GroupWise policy outage which began -day yyyy/mm/dd recovered. Affected users confirmed service restoration.","Une panne de « GroupWise policy » qui a commencé date yyyy/mm/dd a été restauré. Les usagers affectés ont confirmés la restauration du service.","status"
61,"Some users are unable to access %{service_impact}.","Certains usagers n'ont pas d'accès à %{service_impact}.","status"
62,"Users at site %{service_impact} are unable to access the wide area network.","Les utilisateurs à site %{service_impact} n’ont pas d’ accès au réseau.","status"
63,"Users are unable to access various applications including but not limited to: %{service_impact}","Les utilisateurs n’ont pas d’accès à quelques application inclus mais pas limité à: %{service_impact}","status"
64,"Support is investigating.","Le groupe de soutien a été informé.","status"
65,"HART has been informed. ","ESDE a été informé.","status"
66,"Some clients are unable to send Across EDI data.","Certains clients ne peuvent pas envoyer les données SSMAEC EDI.","status"
67,"Multiple users at multiple sites were experiencing various access issues with %{service_impact}.","Plusieurs utilisateurs sur plusieurs sites avaient problèmes d'accès avec %{service_impact}.","status"
68,"The service provider is investigating the cause.","Le fournisseur de services enquete la cause.","status"
69,"The XXXX SIM has been informed.","Le Gestionnaire principal des incidents de XXXXX a été avisé.","status"
70,"The service provider resolved a  hardware issue at the Central Office.","Le fournisseur de service a résolu un problème de matériel au burean central.","status"
71,"Users are unable to access the following applications: %{service_impact}","Les utilisateurs ne peuvent pas accéder les applications suivantes: %{service_impact}","status"
72,"CRA mainframe  systems are functioning normally.","Les systems d'ordinateurs centrales de l'ARC fonctionnent normalement.","status"
73,"The applications listed are now all available.","Les applications sont maintenant disponibles.","status"
74,"No further updates will be sent until new information is available.","Aucune autres mise à jour ne sera envoyé jusqu’à tant que d’autres informations deviennent disponibles.","status"
75,"Root cause still under investigation.","La cause de l’incident est toujours sous enquête.","status"
76,"The vendor has resolved the issue.","Le vendeur a résolu le problème.","status"
77,"The above listed site is experiencing a power outage. IT systems are unavailable. No further updates will be sent until new information is available.","Le site subit une panne de courant. Les systèmes informatiques ne sont pas disponibles. Aucune autres mise à jour ne sera envoyé jusqu’à tant que d’autres informations deviennent disponibles.","status"
78,"Affected sites confirm service restoration. Root cause is still under investigation.","Les sites affectés ont confirmés le rétablissement du service. La cause de l’incident est toujours sous enquête.","status"
79,"Multiple platforms and services are impacted including: %{service_impact}","Plusieurs plateformes et services sont affectés y compris: %{service_impact}","status"
80,"Local IT support confirmed power at the site.","Le soutien technique local a confirmé le courant au site.","status"
81,"%{service_impact} has been stable since XX:XX ET. IT systems are available.","%{service_impact} est stable depuis XX:XX HE. Les systèmes informatique sont disponibles.","status"
82,"A scheduled enterprise network change went outside its change window impacting the above listed services.","Un changement de réseau prévu a dépassé la fenêtre de temps et a affecté les services ci-dessus.","status"
83,"The above listed site lost the primary network circuit. The backup circuit is available.","Le site ci-dessus a perdu la connexion du réseau primaire. Le connexion sauvegarde est disponible.","status"
84,"Service was restored during investigation without intervention.","Le service a été rétabli en cours de l’investigation sans intervention du support.","status"
85,"Some users are unable to access %{service_impact} due to scheduled weekend change activities.","Certains usagers n’ont pas d’accès à %{service_impact} a cause des changements prévu.","status"
86," BB10 users at %{affected_departments} were unable to send or receive Blackberry messages.","Les usagers de %{affected_departments} ne pouvaient pas envoyer ou recevoir les messages sur leurs appareils BlackBerry BB10.","status"
87,"Some users are unable to access the (CRA, CBSA) mainframe.","Certains usagers n’ont pas d'accès a l'ordinateur central de l'ASFC. ","status"
88,"ACROSS EDI messages are impacted for some external clients.","Les messages SSMAEC EDI sont affectés pour certains clients externes..","status"
89,"Site %{service_impact} is unable to access the Wide Area Network (WAN) via the primary circuit. The backup circuit is available.","Site %{service_impact} n'a pas accès au réseau (WAN) via le circuit primaire. Le circuit sauvegarde est disponible.","status"
90,"The incident has been resolved.","L’incident a été résolu.","status"
91,"ACROSS EDI messages are impacted for the following client: %{affected_departments}","Les messages SSMAEC EDI sont affectés pour le client suivant: %{affected_departments}","status"
92,"ACROSS EDI outbound messages are impacted for all Vans.","Les messages de sortie SSMAEC EDI sont affectés pout tous les réseaux à valeur ajoutée .","status"
93,"ACROSS impacted for some users.","SSMAEC est affecté pour certains utilisateurs.","status"
94,"Clients are unable to send and receive data to/from CBSA.","Les clients sont dans l'impossibilité de transmettre ou de recevoir les données à/de ASFC.","status"
95,"Some clients are unable to send Across EDI data.","Certains clients ne peuvent pas transmettre les données SSMAEC EDI.","status"
96,"Some clients are not receiving CCS outbound data from CBSA.","Certains clients ne recoivent pas les données de sortie SCDC de l'ASFC.","status"
97,"Some clients were not receiving CCS outbound data from CBSA.","Certains clients ne recevaient pas les données de sortie SCDC de l'ASFC.","status"
98,"Some external clients are unable to send or receive EDI data. ","Certains clients externes sont dans l'impossibilité de transmettre ou de recevoir les messages EDI.","status"
99,"Some users are unable to access Across.","Certains utilisateurs n'ont pas l'acces à SSMAEC","status"
100,"External clients are not receiving acknowledgments","Les clients externes ne recoivent pas les messages de confirmation.","status"
101,"Users are unable to access AIMS.","Les utilisateurs n’ont pas accès à SGIV.","status"
102,"Batch processing is impacted on the %{affected_departments) mainframe.","Traitement par lots est affecté sur l’ordinateur central de %{affected_departments}.","status"
103,"Users are unable to access CAS production.  ","Les utilisateurs ne peuvent pas accéder SAE dans l’environement production. ","status"
104,"Users are unable to access the CAS Self Service Portal.","Les utilisateurs ne peuvent pas acceder le portail de libre-service de SAE.","status"
105,"Users are unable to access the CCM application.","Les utilisateurs ne peuvent pas accéder à l'application GCE.","status"
106,"The following site is unable to access the National Case Management System <NCMS> and Client Status Query <CSQ> applications:","Le site suivant ne peut pas accéder au Système National de Gestion des Cas <SNGC""> et à Recherche sur le Client <RC>:","status"
107,"Users are unable to access the CIC network.","Les utilisateurs ne peuvent pas accéder au réseau de CIC.","status"
108,"Users at multiple sites are unable to access the CIC network.","Utilisateurs sur plusieurs sites sont incapables d'accéder au réseau de CIC.","status"
109,"Users are experiencing timeouts when accessing CORTAX.","Les utilisateurs de CORTAX recoivent l'horlage en accèdent CORTAX.","status"
110,"CPIC WEB is unavailable.","CPIC WEB n’est pas disponible.","status"
111,"Multiple users at the following sites cannot access CPIC WEB: %{service_impact}","Plusieurs utilisateurs aux sites suivants ne peuvent pas accéder à l’application CIPC WEB: %{service_impact}","status"
112,"Users are unable to access the external CRA website.","Les utilisateurs ne peuvent pas accéder au site Web externe de l' ARC.","status"
113,"Access to %{affected_departments} mainframe is slow for some users.","L’accès à l’ordinateur central %{affected_departments} est lent pour certains utilisateurs.","status"
114,"Users are experiencing intermittent access to %{service_impact}.","Les utilisateurs éprouvent par intermittence l’acess à %{service_impact}.","status"
115,"Scheduled %{service_impact} weekend maintenance has gone beyond its maintenance window causing the above listed applications to be unavailable.","L’entretien prévu à %{service_impact} est en retard et a causé les applications ci-dessus d’être non-disponible.","status"
116,"ELCS is unavailable.","SCEL n’est pas disponible.","status"
117,"ELCS printing is impacted at multiple tax sites.","L’impression des lettres SCEL sont affectés.","status"
118,"Some users are unable to print ELCS letters at various sites including: %{service_impact}","Certains utilisateurs . ne peuvent pas imprimer les lettres SCEL. Les sites affectés inclus mais ne sont pas limités à: %{service_impact}","status"
119,"Blackberry service impacted for some %{affected_departments} users in the <region> region. ","Le service Blackberry est affecté pour certains utilisateurs %{affected_departments} dans la région <region>.","status"
120,"Email service for site %{service_impact} is unavailable for some users.","Le service de courriel pour le site %{service_impact} est non disponible pour quelques utilisateurs.","status"
121,"Email is impacted for some users.","Le service courriel est affecté pour certains utilisateurs.","status"
122,"Exchange is not available for some users.","Le service courriel est non disponible pour certains utilisateurs.","status"
123,"Exchange was not available for some users.","Le service Exchange n’était pas disponible pour certains utilisateurs.","status"
124,"Some users are unable to access their email.","Certains utilisateurs sont incapables d'acceder à leurs couriels.","status"
125,"Some %{affected_departments} <Region> region Blackberry users are unable to send or receive emails.","Le service Blackberry est affecté pour certains utilisateurs %{affected_departments} dans la région <Région>.","status"
126,"The following applications are impacted at multiple %{affected_departments} sites: %{service_impact}","Les applications ci-dessous sont affectés à certains sites de %{affected_departments}: %{service_impact}","status"
127,"Users are unable to access the following applications: %{service_impact}","Les utilisateurs ne peuvent pas accéder les applications suivantes: %{service_impact}","status"
128,"Applications affected include: %{service_impact}","Applications affectées inclus: %{service_impact}","status"
129,"HART has been invoked.","ESDE a été informe.","status"
130,"HART notified. ","ESDE a été informé.","status"
131,"Priority raised to <High/Critical> at XX:XX.","Priorité élevé à <Importante/Critique> a XX:XX.","status"
132,"Support has been contacted.","Le group de soutien a été informé.","status"
133,"Support is currently investigating root cause of the problem.","Le groupe de soutien enquête actuellement la cause du problème.","status"
134,"Support is investigating.","Le groupe de soutien enquête l'incident.","status"
135,"The support group have been notified and are investigating.","Le groupe de soutien a été informé et sont entrain d'enquêter la cause.","status"
136,"This issue is related to change #< >.","Cet incident est lié au changement #< >.","status"
137,"Users may experience intermittent access.","Les usagers pourrait experimenter l'access intermittent.","status"
138,"ICES was unavailable for some users.","SIED n’était pas disponible pour certains utilisateurs.","status"
139,"Some users are unable to access ICES.","Certains utilisateurs ne peuvent pas accéder à SIED.","status"
140,"Users at the following sites are unable to access ICES:","Les utilisateurs aux sites suivants ne peuvent pas accéder SIED:","status"
141,"All users are unable to access ICS applications.","Tous les utilisateurs ne sont pas capable d’accèder les applications ICS.","status"
142,"ICS is impacted for all users at multiple sites.","SID est affecté pour tout les utilisateurs a plusieurs sites. ","status"
143,"ICS is impacted for some users.","SID est affecté pour certains utilisateurs. ","status"
144,"ICS users are experiencing problems with the following applications:","Les utilisateurs de SID éprouvent des problèmes avec les applications suivantes:","status"
145,"ICS was impacted for some users. ","SID était affecté pour certains utilisteurs.","status"
146,"Some users are unable to acess ICS.","Certains utilisateurs n'ont pas l'accès à SID.","status"
147,"Users at multiple sites are unable to logon to IPIL via ICS.","Les utilisateurs aux plusieurs sites n'ont pas l'accès à LIPI de SID.","status"
148,"Users at multiple sites were unable to logon to IPIL via ICS.","Les utilisateurs aux plusieurs sites n'avaient pas l'accès à LIPI de SID.","status"
149,"<Number> of <Number> IPIL lane readers down at %{service_impact}.","<Numero> lecteurs de <Numero> voies LIPI ne fonctionnent pas à %{service_impact}.","status"
150,"All IPIL Highway lanes are down at the following sites: %{service_impact}","Toutes les voies LIPI routier ne fonctionnent pas aux sites suivants: %{service_impact}","status"
151,"Some sites are experiencing intermittent access to IPIL including: %{service_impact}","Certains sites éprouvent par intermittance l’accès à LIPI inclus: %{service_impact}","status"
152,"Users at multiple sites were unable to logon to IPIL via ICS.","Les utilisateurs de plusieurs sites n'étaient pas en mesure de se connecter à SIGLIP via SID.","status"
153,"Users at the following sites are unable to verify passenger information using IPIL: %{service_impact}","Les utilisateurs aux sites suivants ne peuvent pas vérifier l'information de passager en utilisant LIPI: %{service_impact}","status"
154,"The following applications are affected by an MQ messaging problem: %{service_impact}","Les applications suivantes sont affectées a cause d'une problème de messagerie MQ: %{service_impact}","status"
155,"My Account is unavailable.","Mon dossier est non-disponible.","status"
156,"My Account was unavailable.","Mon dossier n’était pas disponible.","status"
157,"T2 Netfile users are unable to file within Netfile.  ","Les utilisateurs d’Impotnet T2 ne peuvent pas déposer leurs impôts en ligne.","status"
158,"The network is slow for multiple sites including:","Le réseau est lent pour certains sites inclus:","status"
159,"Multiple Sites in <Region> region are unable to connect to network.","Plusieurs sites dans la région <Région> ne sont pas capable de faire connexion au réseau.","status"
160,"Users at %{service_impact} have lost their primary network access.","Les utilisateurs à %{service_impact} ont perdu leur accès primaire au réseau.","status"
161,"The support group has transferred the site to a backup circuit.","Le groupe de soutien a transferré le site au circuit alternatif.","status"
162,"Users are unable to access the CRA network.","Les utilisateurs n’ont pas d’acces au réseau de ARC.","status"
163,"A circuit problem is affecting user access to the network."," Un problème de circuit affecte l'accès au réseau pour les utilisateurs.","status"
164,"The service provider is investigating a hardware problem.","Le fournisseur de service enquête un problème de matériel.","status"
165,"The following CBSA satelite sites have experienced network connectivity problems: %{service_impact}","Les sites de satellite de l'ASFC suivant ont experiencés des problêmes d’accès au réseau:  %{service_impact}","status"
166,"The following sites are experiencing network connectivity problems: %{service_impact}","Les sites suivants éprouvent des problèmes de connectivité au réseau: %{service_impact}","status"
167,"Service provider is investigating.","Le fournisseur de le service enquete la cause.","status"
168,"Users at %{service_impact} are unable to access the CRA network.","Les utilisateurs à %{service_impact} n’ont pas d’acces au réseau de ARC.","status"
169,"Site%{service_impact} is experiencing circuit issues.","Site %{service_impact} rencontre des problèmes de circuit.","status"
170,"Users are unable to access the wide area network.","Les utilisateurs n’ont pas l’acess au réseau.","status"
171,"Due to a problem with a domain controller users at the following site are unable to logon to the network: %{service_impact}","En raison d'un problème avec un contrôleur de domaine les utilisateurs au site suivant ne peuvent pas accéder le réseau: %{service_impact}","status"
172,"Users at the following sites are unable to logon to the network: %{service_impact}","Les utilisateurs aux sites suivants ne peuvent pas ouvrir une session au réseau: %{service_impact}","status"
173,"iDetect not receiving PNR data from EU flights.","iDetect ne reçoit pas de données PNR pour les vols EU.","status"
174,"Paxis is not receiving PNR data for European based flights from the following airlines:","SIPAX ne reçoit pas de données PNR pour des vols européens inclus les lignes aériennes suivantes:","status"
175,"Paxis not receiving API/PNR data for flights.","SIPAX ne recoit pas de données API / PNR pour les vols.","status"
176,"Paxis not receiving international API/PNR data for all flights.","SIPAX ne reçoit pas de données API/PNR pour certains vols internationaux.","status"
177,"Paxis not receiving international API/PNR data for some flights.","SIPAX ne reçoit pas de données internationaux API/PNR pour certains vols.","status"
178,"Paxis not receiving international PNR data from EU flights.","SIPAX ne reçoit pas de données international PNR pour certains vols de UE.","status"
179,"PKI is impacted for some users.","ICP est affecté pour certains utilisateurs.","status"
180,"Users without a valid PKI certificate are unable to create or recover a PKI certificate. Users with a valid certificate are not affected. ","Les utilisateurs qui n’ont pas un certificat ICP valide ne peuvent pas créer ou rétablir un certificat ICP. Les utilisateurs avec un certificat ICP valide ne sont pas affectés.","status"
181,"All users are unable to access the SMART application.","Tous les usagers ne sont pas capable d’accéder à SMART.","status"
182,"Users are unable to access SRA using <Connection Type>.  ","Les utilisateurs ne peuvent pas accéder le service ADP par <Type de connexion> ","status"
183,"Users are unable to access the following application due to an issue within the Standardized Accounting application: %{service_impact}","Les utilisateurs ne peuvent pas accéder à l'application suivante a cause d'un problème de l'application de comptabilité normalisée: %{service_impact}","status"
184,"Access to the following online tax applications was impacted: %{service_impact}","L’acces aux applications d’impôt suivant étaient affectées: %{service_impact}","status"
185,"CRA tax applications impacted.","Les applications ARC sont affectées.","status"
186,"Some users are experiencing intermittent access to various tax applications.","Certains utilisateurs éprouvent des difficultés d'accès par intermittance aux applications d'impôts.","status"
187,"Some users are unable to access various tax applications.","Certains utilisateurs n’ont pas d’acces aux quelques applications d’impôt.","status"
188,"A database problem is impacting various tax applications including: %{service_impact}","Un problème de base de données affecte quelques applications d'impôts inclus: %{service_impact}","status"
189,"The problem is impacting various tax applications including: %{service_impact}","Le problème affecte quelques applications d'impôts inclus: %{service_impact}","status"
190,"The Travelers Entry Proccessing System (TEPS) application is unavailable at %{service_impact}.","Le Système de traitement des déclarations des voyageurs n'est pas disponible au site %{service_impact}. ","status"
191,"The Travelers Entry Proccessing System (TEPS) application was unavailable at %{service_impact}.","Le systeme de traitement des declarations des voyageurs (STDV) n'était pas disponible au %{service_impact}.","status"
192,"Users are unable to access the TSAD-(option) application.","Les usagers sont incapables d'accèder a l'application ATASC- (option). ","status"
193,"Netfile is unavailable.","Impôtnet n'est pas disponible.","status"
194,"My Account is unavailable.","Mon dossier n'est pas disponible.","status"
195,"Canadian taxpayers cannot access the website.","Les contribuables canadiens ne peuvent accéder le site web. ","status"
196,"Canadian taxpayers are now able to file tax returns electronically.  ","Les contribuables canadiens peuvent maintenant remettre leurs déclarations d’impôt par voie électronique.","status"
197,"A LAN Switch has been ordered for replacement","Le commutateur du réseau local à remplacer a été commandé.","status"
198,"Users are not able to send/receive encrypted emails from other government departments.","Les utilisateurs ne peuvent pas envoyer/recevoir le courriel chiffré des autres départements gouvernementaux.","status"
199,"Conference call conducted with representatives from … ","L’appel conférence a été mené avec les représentants suivant:","status"
200,"Support group has been paged.","L’équipe de soutien a été avisée.","status"
201,"The service provider has been informed."," Le fournisseur de service a été avisé.","status"
202,"Investigation underway. ","L’enquête est en cours.","status"
203,"Workaround (or Fix) identified.   Workaround (or Fix) identified.   Workaround (or Fix) identified.   ","La solution de rechange (ou réparation) a été identifiée","status"
204,"Workaround   ","Une solution de contournement","status"
205,"Servers were rebooted or the server has been rebooted.","Les serveurs ont été redémarrés ou le serveur a été redémarré.","status"
206,"Support has implemented a temporary fix.","L’équipe de soutien a mis en place une solution temporaire.","status"
207,"The investigation of a possible workaround continues.","L'enquête d'une solution de contournement possible continue.","status"
208,"Users at site %{service_impact} are unable to access the wide area network.","Les utilisateurs à site %{service_impact} n’ont pas d’ accès au réseau.","status"
209,"Users at site %{service_impact} were unable to access the wide area network. Service has been restored.","Les utilisateurs à site %{service_impact} n’avaient pas d’accès au réseau. Le service a été rétabli.","resolution"
210,"The above listed site is experiencing a power outage. IT systems are unavailable. No further updates will be sent until new information is available.","Le site subit une panne de courant. Les systèmes informatiques ne sont pas disponibles. Aucune autres mise à jour ne sera envoyé jusqu’à tant que d’autres informations deviennent disponibles.","status"
211,"The above listed site experienced a power outage. Power has been restored. IT systems are available.","Le site a subit une panne de courant. Le courant a été rétabli. Les systèmes informatiques sont disponibles. ","resolution"
212,"The above listed site is experiencing a power outage. IT systems are unavailable. No further updates will be sent until new information is available.","Le site subit une panne de courant. Les systèmes informatiques ne sont pas disponibles. Aucune autres mise à jour ne sera envoyé jusqu’à tant que d’autres informations deviennent disponibles.","status"
213,"Power was restored at XX:XX ET dd/mm/yyyy but local file and print and Exchange servers were unavailable. Local IT support rebooted the servers at XX:XX ET dd/mm/yyyy restoring service.","Le courant a été rétabli au site à XX:XX HE jj/mm/aaaa mais les serveurs de fichiers et d’impression et Exchange n’étaient pas disponibles. Le soutien technique local a redémarré les serveurs à XX:XX ET jj/mm/aaaa ce qui a rétabli le service.","resolution"
214,"Some users are unable to access %{service_impact} due to scheduled weekend change activities.","Certains usagers n’ont pas d’accès à %{service_impact} a cause des changements prévu.","status"
215,"Scheduled weekend change activities have been completed. Users have confirmed access to %{service_impact}.","Les changements prévu ont été complété. Les usagers ont confirmés l’accès à %{service_impact}.","resolution"
216,"Some users are unable to access %{service_impact}.","Certains usagers n'ont pas d'accès à %{service_impact}.","status"
217,"Users have confirmed access to %{service_impact}.","Les usagers ont confirmés l’accès à %{service_impact}.","resolution"
218,"Some users are unable to access %{service_impact}.","Certains usagers n'ont pas d'accès à %{service_impact}.","status"
219,"Access has been restored. User have confirmed access to %{service_impact}.","L'accès a été rétabli. Usagers ont confirmés l'accès à %{service_impact}.","resolution"
220,"%{service_impact} is unavailable.","%{service_impact} n’est pas disponible.","status"
221,"%{service_impact} was unavailable.","%{service_impact} n’était pas disponible.","resolution"
222,"%{service_impact} is unavailable.","%{service_impact} n’est pas disponible.","status"
223,"The incident has been resolved. Health checks were completed successfully. Affected users confirm service restoration.","L'incident a été résolu. Les vérifications ont été complétés avec succès. Les usagers affectés ont confirmés la rétablissement du service.","resolution"
224,"The incident became Critical priority at XX:XX ET yyyy/mm/dd.","L'incident est devenu priorité critique à XX:XX HE aaaa/mm/jj.","status"
225,"The incident was downgraded to Medium priority at XX:XX ET yyyy/mm/dd. No further updates will be sent.","L'incident a été rétrogradé à priorité moyen à XX:XX HE aaaa/mm/jj. Acune autres mise à jour ne sera envoyé.","resolution"
